doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
shopee-cach-dong-goi-don-hang-hoan-tra,data/return-refund-policy/shopee-cach-dong-goi-don-hang-hoan-tra.md,Cách đóng gói đơn hàng hoàn trả,https://help.shopee.vn/portal/4/article/79508-%5BTr%E1%BA%A3-h%C3%A0ng%2F-Ho%C3%A0n-ti%E1%BB%81n%5D-C%C3%A1ch-%C4%91%C3%B3ng-g%C3%B3i-%C4%91%C6%A1n-h%C3%A0ng-ho%C3%A0n-tr%E1%BA%A3?previousPage=secondary%20category,2026-09-20,not-stated,public-source
shopee-cach-theo-doi-van-chuyen-hang-hoan-tra,data/return-refund-policy/shopee-cach-theo-doi-van-chuyen-hang-hoan-tra.md,Cách theo dõi tình trạng vận chuyển hàng hoàn trả,https://help.shopee.vn/portal/4/article/189476-%5BTr%E1%BA%A3-h%C3%A0ng%2F-Ho%C3%A0n-ti%E1%BB%81n%5D-C%C3%A1ch-theo-d%C3%B5i-t%C3%ACnh-tr%E1%BA%A1ng-v%E1%BA%ADn-chuy%E1%BB%83n-h%C3%A0ng-ho%C3%A0n-tr%E1%BA%A3?previousPage=secondary%20category,2026-09-20,not-stated,public-source
shopee-cam-nang-tra-hang-hoan-tien,data/return-refund-policy/shopee-cam-nang-tra-hang-hoan-tien.md,Cẩm nang Trả hàng hoàn tiền,https://help.shopee.vn/portal/4/article/79258-%5BTr%E1%BA%A3-h%C3%A0ng%2FHo%C3%A0n-ti%E1%BB%81n%5D-C%E1%BA%A9m-nang-Tr%E1%BA%A3-h%C3%A0ng-ho%C3%A0n-ti%E1%BB%81n?previousPage=secondary%20category,2026-09-20,not-stated,public-source
shopee-chinh-sach-tra-hang-nguoi-ban,data/return-refund-policy/shopee-chinh-sach-tra-hang-nguoi-ban.md,Chính sách Trả hàng và Hoàn tiền — Người Bán,https://help.shopee.vn/portal/4/article/77251-CH%C3%8DNH-S%C3%81CH-TR%E1%BA%A2-H%C3%80NG-V%C3%80-HO%C3%80N-TI%E1%BB%80N,2026-09-20,2026-03-11,public-source
shopee-chinh-sach-tra-hang-nguoi-mua,data/return-refund-policy/shopee-chinh-sach-tra-hang-nguoi-mua.md,Chính sách Trả hàng và Hoàn tiền — Người Mua,https://help.shopee.vn/portal/4/article/77251-CH%C3%8DNH-S%C3%81CH-TR%E1%BA%A2-H%C3%80NG-V%C3%80-HO%C3%80N-TI%E1%BB%80N,2026-09-20,2026-03-11,public-source
shopee-huong-dan-chuan-bi-bang-chung,data/return-refund-policy/shopee-huong-dan-chuan-bi-bang-chung.md,Hướng dẫn chuẩn bị bằng chứng khi yêu cầu Trả hàng/ Hoàn tiền,https://help.shopee.vn/portal/4/article/79467-%5BTr%E1%BA%A3-h%C3%A0ng%2FHo%C3%A0n-ti%E1%BB%81n%5D-H%C6%B0%E1%BB%9Bng-d%E1%BA%ABn-chu%E1%BA%A9n-b%E1%BB%8B-b%E1%BA%B1ng-ch%E1%BB%A9ng-khi-y%C3%AAu-c%E1%BA%A7u-Tr%E1%BA%A3-h%C3%A0ng%2F-Ho%C3%A0n-ti%E1%BB%81n?previousPage=secondary%20category,2026-09-20,not-stated,public-source
shopee-huong-dan-gui-yeu-cau-tra-hang,data/return-refund-policy/shopee-huong-dan-gui-yeu-cau-tra-hang.md,Hướng dẫn gửi yêu cầu Trả hàng/ Hoàn tiền,https://help.shopee.vn/portal/4/article/79233-%5BTr%E1%BA%A3-h%C3%A0ng%2F-Ho%C3%A0n-ti%E1%BB%81n%5D-H%C6%B0%E1%BB%9Bng-d%E1%BA%ABn-g%C6%B0%CC%89i-y%C3%AAu-c%E1%BA%A7u-Tr%E1%BA%A3-h%C3%A0ng%2F-Ho%C3%A0n-ti%E1%BB%81n?previousPage=secondary%20category,2026-09-20,not-stated,public-source
shopee-kiem-tra-tien-hoan-spaylater,data/return-refund-policy/shopee-kiem-tra-tien-hoan-spaylater.md,Làm sao để kiểm tra tiền đã hoàn vào SPayLater hay chưa?,https://help.shopee.vn/portal/4/article/164831-%5BTr%E1%BA%A3-h%C3%A0ng%2FHo%C3%A0n-ti%E1%BB%81n%5D-L%C3%A0m-sao-%C4%91%E1%BB%83-ki%E1%BB%83m-tra-ti%E1%BB%81n-%C4%91%C3%A3-ho%C3%A0n-v%C3%A0o-SPayLater-hay-ch%C6%B0a?previousPage=secondary%20category,2026-09-20,not-stated,public-source
shopee-phuong-thuc-va-phi-tra-hang,data/return-refund-policy/shopee-phuong-thuc-va-phi-tra-hang.md,Các phương thức gửi hàng hoàn trả và phí hoàn trả,https://help.shopee.vn/portal/4/article/189477-%5BTr%E1%BA%A3-h%C3%A0ng%2F-Ho%C3%A0n-ti%E1%BB%81n%5D-C%C3%A1c-ph%C6%B0%C6%A1ng-th%E1%BB%A9c-g%E1%BB%ADi-h%C3%A0ng-ho%C3%A0n-tr%E1%BA%A3-v%C3%A0-ph%C3%AD-ho%C3%A0n-tr%E1%BA%A3?previousPage=secondary%20category,2026-09-20,not-stated,public-source
shopee-quy-dinh-chung-tra-hang-hoan-tien,data/return-refund-policy/shopee-quy-dinh-chung-tra-hang-hoan-tien.md,Những quy định chung về Trả hàng/Hoàn tiền của Shopee,https://help.shopee.vn/portal/4/article/188931-%5BTr%E1%BA%A3-h%C3%A0ng%2FHo%C3%A0n-ti%E1%BB%81n%5D-Nh%E1%BB%AFng-quy-%C4%91%E1%BB%8Bnh-chung-v%E1%BB%81-Tr%E1%BA%A3-h%C3%A0ng%2FHo%C3%A0n-ti%E1%BB%81n-c%E1%BB%A7a-Shopee?previousPage=secondary%20category,2026-09-20,not-stated,public-source
